area_Name,area_Id,area_City,City ID
ساحة المهد,495,beitlahm,4
باب زقاق,494,beitlahm,4
الدهيشة,493,beitlahm,4
العبيدية,491,beitlahm,4
بيت ساحور,453,beitlahm,4
بيت جالا,452,beitlahm,4
بتير,451,beitlahm,4
واد فوكين,450,beitlahm,4
حوسان,449,beitlahm,4
الخضر,448,beitlahm,4
المينيا,447,beitlahm,4
كيسان,446,beitlahm,4
بيت فجار,445,beitlahm,4
خربة تقوع,444,beitlahm,4
واد محيميد,443,beitlahm,4
مراح رباح,442,beitlahm,4
تقوع,441,beitlahm,4
ام سلمونة,440,beitlahm,4
خلة عفانا,439,beitlahm,4
خربة الدير,438,beitlahm,4
المعصرة,437,beitlahm,4
خلة سكاريا,436,beitlahm,4
واد رحال,435,beitlahm,4
خلة البلوطة,434,beitlahm,4
جناتا(بد فلوح),433,beitlahm,4
الفريديس,432,beitlahm,4
زعترة,431,beitlahm,4
الجبعة,430,beitlahm,4
بيت تعمر,429,beitlahm,4
نحالين,428,beitlahm,4
ارطاس,427,beitlahm,4
كفير,998,Jenin,2
العصاعصه,977,Jenin,2
وادي دعوك,976,Jenin,2
دوار البطيخه,960,Jenin,2
مجمع التاج,933,Jenin,2
شارع البريد,932,Jenin,2
...,917,Jenin,2
شارع kfc,810,Jenin,2
مخيم جنين,807,Jenin,2
جنين البلد,805,Jenin,2
طلوع الغبز,795,Jenin,2
شارع الحسبه,782,Jenin,2
شارع الحسبه,781,Jenin,2
شارع النهضه,780,Jenin,2
الجامع الكبير,775,Jenin,2
مشفى الرازي,774,Jenin,2
شارع مشفى الامل والحكومي,773,Jenin,2
شارع المدارس,772,Jenin,2
العطاره,771,Jenin,2
النمر مول,770,Jenin,2
خروبة,766,Jenin,2
دوار البطيخة,765,Jenin,2
دوار الجلبوني,762,Jenin,2
دوار يحيى عياش,761,Jenin,2
الدوارالرئيسي,760,Jenin,2
جبل ابو ظهير,759,Jenin,2
المنطقه الصناعيه,758,Jenin,2
حي الزهراء,757,Jenin,2
دوار الداخليه,756,Jenin,2
شارع ابو بكر,755,Jenin,2
دوار السينما/شارع البريد,754,Jenin,2
ضاحية الزيتون,749,Jenin,2
ضاحية الجنان,748,Jenin,2
واد برقين~الهدف,742,Jenin,2
حي البساتين~العسكري,741,Jenin,2
الجابريات,701,Jenin,2
مثلث الشهدا,700,Jenin,2
حي المراح,697,Jenin,2
الالمانية,674,Jenin,2
شارع نابلس,673,Jenin,2
شارع حيفا,672,Jenin,2
ظهر العبد,671,Jenin,2
الهاشمية,670,Jenin,2
زبده,661,Jenin,2
الجامعة الامريكية,645,Jenin,2
عرانه,644,Jenin,2
الطيبة,642,Jenin,2
مخيم فحمه,635,Jenin,2
الحارة الشرقية,533,Jenin,2
شارع الناصرة,531,Jenin,2
2,528,Jenin,2
حى المراح,527,Jenin,2
سيلة الظهر,67,Jenin,2
الفندقومية,66,Jenin,2
جبع جنين,65,Jenin,2
سيريس,63,Jenin,2
الجديدة,62,Jenin,2
ميثلون,61,Jenin,2
الرامة,60,Jenin,2
صانور,59,Jenin,2
عنزة,58,Jenin,2
عجة,57,Jenin,2
صير,56,Jenin,2
كفر راعي,54,Jenin,2
فحمة,55,Jenin,2
الزاوية,53,Jenin,2
الزبابدة,52,Jenin,2
مسلية,51,Jenin,2
رابا,50,Jenin,2
المنصورة,49,Jenin,2
وادي داعوق,48,Jenin,2
مركة,47,Jenin,2
تلفيت,46,Jenin,2
عرابة,45,Jenin,2
الضميرة,44,Jenin,2
قباطية,43,Jenin,2
الحفيرة,42,Jenin,2
بير الباشا,41,Jenin,2
المغير,40,Jenin,2
جلقموس,39,Jenin,2
ام التوت,38,Jenin,2
فراسين,37,Jenin,2
امريحة,36,Jenin,2
كفيرت,35,Jenin,2
يعبد,34,Jenin,2
عابا الشرقية,33,Jenin,2
ام دار,32,Jenin,2
برقين,31,Jenin,2
دير ابوضعيف,30,Jenin,2
كفرقود,29,Jenin,2
خربة المنطار الشرقية,28,Jenin,2
جلبون,27,Jenin,2
//,26,Jenin,2
//,25,Jenin,2
خربة المنطار الغربية,24,Jenin,2
الطرم,23,Jenin,2
نزلة الشيخ زيد,22,Jenin,2
طورة الشرقية,21,Jenin,2
طورة الغربية,20,Jenin,2
بيت قاد الجنوبي,19,Jenin,2
العرقة,18,Jenin,2
//,17,Jenin,2
ظهرالمالح,16,Jenin,2
مشروع بيت قاد الشمالي,15,Jenin,2
خربة عبدالله يونس,14,Jenin,2
كفردان,13,Jenin,2
ام الريحان,12,Jenin,2
اليامون,11,Jenin,2
خربة سروج,10,Jenin,2
فقوعة,9,Jenin,2
ديرغزالة,8,Jenin,2
عانين,7,Jenin,2
سيلة الحارثية,6,Jenin,2
الجلمة,5,Jenin,2
عربونة,4,Jenin,2
رمانة,3,Jenin,2
تعنك,2,Jenin,2
زبوبا,1,Jenin,2
دوار المنارة,1074,Ramallah,1
شارع مسجد جمال عبد التاصر,1051,Ramallah,1
شارع ركب/عماة طنوس-النتشة,1050,Ramallah,1
شارع بلدية البيرة,1049,Ramallah,1
شارع الحسبة /حسبة رام الله,1048,Ramallah,1
شارع مجمع المحطة الرئيسي,1047,Ramallah,1
شارع الفرندس,1046,Ramallah,1
شارع المكتبة,1045,Ramallah,1
دوار المجلس التشريعي,1044,Ramallah,1
دوار مصلحة المياه,1043,Ramallah,1
شارع مستشفى رام اللة,1042,Ramallah,1
شارع النهضة,1041,Ramallah,1
شارع الكلية الاهلية,1040,Ramallah,1
دوار الساعة,1039,Ramallah,1
شارع الاتصالات,1038,Ramallah,1
نزلة البريد,1037,Ramallah,1
شارع ركب,1036,Ramallah,1
شارع بنك فلسطين,1035,Ramallah,1
شارع الشرطة القديم,1034,Ramallah,1
دوار المنارة,1033,Ramallah,1
مستشفى الرعاية,1032,Ramallah,1
مجمع عياش مول,1031,Ramallah,1
مجمع رام الله مول,1030,Ramallah,1
الارسال/قصر الحمرا,1029,Ramallah,1
سطح مرحبا/الشارع العام,1028,Ramallah,1
شارع القدس/رام الله,1027,Ramallah,1
حي البالوع,1026,Ramallah,1
الشرفة,1025,Ramallah,1
شارع القدس,1016,Ramallah,1
المدية,1015,Ramallah,1
حي البالوع,931,Ramallah,1
-----,875,Ramallah,1
قرية الطيرة / بيت عور,827,Ramallah,1
بيت حنينا البلد,812,Ramallah,1
بطن الهوى,798,Ramallah,1
مخيم الامعري,797,Ramallah,1
اللبن الغربي,750,Ramallah,1
ضاحية الريحان,709,Ramallah,1
بيت حنينا التحتا,696,Ramallah,1
الجيب,640,Ramallah,1
شارع ركب,621,Ramallah,1
رام الله التحتا,535,Ramallah,1
الهلا الحمر,534,Ramallah,1
حي البالوع\اجياد مول,341,Ramallah,1
البيرة\حي الجنان,340,Ramallah,1
مدينة البيرة,339,Ramallah,1
الشرفة\شركة مدى,338,Ramallah,1
سطح مرحبا\الوطنية موبايل,337,Ramallah,1
ام الشرايط,336,Ramallah,1
حي المصيون\رام الله,335,Ramallah,1
عين منجد\رام الله,334,Ramallah,1
رام الله البلد,333,Ramallah,1
حي الطيرة\رام الله,332,Ramallah,1
شارع عين مصباح\رام الله,331,Ramallah,1
حي المصايف\رام الله,330,Ramallah,1
شارع الارسال\رام الله,329,Ramallah,1
مخماس\الشارع الالتفافي,324,Ramallah,1
بيرنبالا,316,Ramallah,1
بيت لقيا,306,Ramallah,1
خربثا المصباح,305,Ramallah,1
طيرة بيت عور الفوقا,304,Ramallah,1
بيت عور الفوقا,303,Ramallah,1
بيت عور التحتا,302,Ramallah,1
بيت سيرا,301,Ramallah,1
قرية صفا,300,Ramallah,1
بلعين,299,Ramallah,1
خربثا بني حارث,298,Ramallah,1
ديرقديس,297,Ramallah,1
المدية,296,Ramallah,1
نعلين,295,Ramallah,1
شبتين,294,Ramallah,1
بيتللو,293,Ramallah,1
جمالة,292,Ramallah,1
مخيم دير عمار,291,Ramallah,1
دير عمار,290,Ramallah,1
عين ايوب,289,Ramallah,1
راس كركر,288,Ramallah,1
كفرنعمة,287,Ramallah,1
الجانية,286,Ramallah,1
عين قينيا,285,Ramallah,1
دير بزيع,284,Ramallah,1
عين عريك,283,Ramallah,1
بيتونيا,282,Ramallah,1
عوفر,281,Ramallah,1
يبرود,280,Ramallah,1
مخيم سلواد,279,Ramallah,1
مخيم سلواد,278,Ramallah,1
سلواد,277,Ramallah,1
المزرعة الشرقية,276,Ramallah,1
كفرمالك,275,Ramallah,1
ديرجرير,274,Ramallah,1
الطيبة,273,Ramallah,1
برقة,272,Ramallah,1
رمون,271,Ramallah,1
برقة,270,Ramallah,1
دير دبوان,269,Ramallah,1
بيتين,268,Ramallah,1
عين يبرود,267,Ramallah,1
دورا القرع,266,Ramallah,1
بيت ايل,265,Ramallah,1
سردا,264,Ramallah,1
ابوقش,263,Ramallah,1
(المزرعة القبلية(الغربية,262,Ramallah,1
ابوشخيدم,261,Ramallah,1
كوبر,260,Ramallah,1
جيبيا,259,Ramallah,1
برهام,258,Ramallah,1
بيرزيت البلد,257,Ramallah,1
مخيم الجلزون,256,Ramallah,1
جفنة,255,Ramallah,1
عين سينيا,254,Ramallah,1
مدينة روابي,253,Ramallah,1
قرية المغير,252,Ramallah,1
خربة ابوفلاح,251,Ramallah,1
قرية ترمسعيا,250,Ramallah,1
عطارة,249,Ramallah,1
عجول,248,Ramallah,1
ام صفا,247,Ramallah,1
ديرالسودان,246,Ramallah,1
بدرس,245,Ramallah,1
قبية,244,Ramallah,1
شقبة,243,Ramallah,1
رنتيس,242,Ramallah,1
ديرابومشعل,241,Ramallah,1
عابود,240,Ramallah,1
ديرنظام,239,Ramallah,1
حلميش,238,Ramallah,1
النبي صالح,237,Ramallah,1
بيت ريما,236,Ramallah,1
ديرغسانة,235,Ramallah,1
كفرعين,234,Ramallah,1
قراوة بني زيد,233,Ramallah,1
مزارع النوباني,232,Ramallah,1
(بني زيد الشرقية(عارورة,231,Ramallah,1
عبوين,230,Ramallah,1
جلجلية,229,Ramallah,1
سنجل,228,Ramallah,1
11,633,Salfit,10
سلفيت البلد,525,Salfit,10
خربة قيس,160,Salfit,10
ديربلوط,159,Salfit,10
كفر الديك,158,Salfit,10
فرخة,157,Salfit,10
بروقين,156,Salfit,10
رافات,155,Salfit,10
الزاوية,154,Salfit,10
عزبة ابو ادم,153,Salfit,10
سرطة,152,Salfit,10
اسكاكا,151,Salfit,10
مسحة,150,Salfit,10
ياسوف,149,Salfit,10
حارس,148,Salfit,10
بديا,147,Salfit,10
مردا,146,Salfit,10
كفل حارس,145,Salfit,10
قيرة,144,Salfit,10
قراوة بني حسان,143,Salfit,10
دير استيا,142,Salfit,10
مخيم الفارعه,786,Tubas,7
الفارعة,785,Tubas,7
الحديدة,83,Tubas,7
خربة عاطوف,82,Tubas,7
طمون,81,Tubas,7
خربة الراس الاحمر,80,Tubas,7
مخيم الفارعة,79,Tubas,7
عين الفارعة,78,Tubas,7
كشدة,77,Tubas,7
طوباس المدينة,76,Tubas,7
العقبة,75,Tubas,7
تياسير,74,Tubas,7
عقابا,73,Tubas,7
ابريق,72,Tubas,7
خربة تل الحمة,71,Tubas,7
.,70,Tubas,7
.,69,Tubas,7
.,68,Tubas,7
فلاميه,947,Tulkarem,6
شارع يافا,923,Tulkarem,6
بزاريا,877,Tulkarem,6
بزاريا,873,Tulkarem,6
بزاريا,828,Tulkarem,6
بزاريا,695,Tulkarem,6
ارتاح,668,Tulkarem,6
كفر رمان,667,Tulkarem,6
عزبة ناصر/الطياح,666,Tulkarem,6
عزبة الجرد,665,Tulkarem,6
ذنابة,664,Tulkarem,6
شويكة,636,Tulkarem,6
كفرعبوش,141,Tulkarem,6
كفرجمال,140,Tulkarem,6
كفر زيباد,139,Tulkarem,6
كور,138,Tulkarem,6
كفرصور,137,Tulkarem,6
الراس,136,Tulkarem,6
بيت ليد,135,Tulkarem,6
سفارين,134,Tulkarem,6
خربة جبارة,133,Tulkarem,6
شوفة,132,Tulkarem,6
فرعون,131,Tulkarem,6
رامين,130,Tulkarem,6
عزبة شوفة,129,Tulkarem,6
الحفاصي,128,Tulkarem,6
كفراللبد,127,Tulkarem,6
عنبتا,126,Tulkarem,6
